name,unique_id,birth_province,birth_prefecture,birth_county,birth_year,birth_month,rural,ethnicity,participated_long_march,CCP_member_before_1949,second_field,parent_military,parent_military_rank,parent_long_march,parent_CCP_pre_1949,parent_CCP_leader,parent_CCP_leader_highest_position,highest_education,education,college1_name,college1_year,college1_foreign,college1_major,college2_name,college2_year,college2_foreign,college2_major,graduate_degree_1,graduate_university_name_1,graduate_graduated_year_1,graduate_university_foreign_1,graduate_major_1,cc1,cc2,cc3,cc4,cc5,cc6,cc7,cc8,cc9,cc10,cc11,cc12,cc13,cc14,cc15,cc16,cc17,cc18,cc19,cmc,cmc_spells,cmc_first,cmc_last,yuanshuai_year,shangjiang_year,zhongjiang_year,combat
丁一平,1,湖南,湘潭市,湘乡市,1951,2,,满族,,,,1,中将,1,1,1,,党校,2,海军指挥学院,1981,,舰艇指挥班,海军指挥学院,1987,,合成指挥班,,,,,,,,,,,,,,,,,,,,,3110,3137,,,,,,,,,2002,
丁先国,2,湖北,黄冈市,麻城市,1909,8,,汉族,1,1,1,,,,,,,党校,2,延安中央党校,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Japan, Communist, Korean"
丁寿岳,3,福建,宁德市,古田县﻿,1944,11,,汉族,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,
丁文昌,4,安徽,宿州市,宿县,1933,10,,汉族,,,,,,,,,,大专,2,解放军第十六步兵学校,1957,,,解放军空军第十航空学校,,,空军地勤机械专业,,,,,,,,,,,,,,,,,,,2001,2001,,,,,,,,,,1996,1990,
丁来杭,5,浙江,杭州市,,1957,9,,汉族,,,,,,,,,,军校,2,中国人民解放军空军指挥学院,,,政治,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,,,,,,2019,2013,
丁毅,6,湖南,衡阳市,耒阳市,1959,10,,汉族,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,
丁海春,7,湖南,益阳市,,1954,4,,汉族,,,,,,,,,,研究生,3,,,,,,,,,,,,,经济学,,,,,,,,,,,,,,,,,,,,,,,,,,2013,
丁盛,8,江西,赣州市,于都县,1913,11,,,1,1,1,,,,,,,军校,2,中国人民解放军军事学院,,,,,,,,,,,,,,,,,,,,,2018,2024,,,,,,,,,,1,1,1969,1977,,,,"Japan, Communist, Korean, Indian"
丁继业,9,山东,青岛市,,1949,8,,,,,,,,,,,,大学,2,军事经济学院,,,军队财务专业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,
万海峰,10,河南,信阳市,光山县,1920,9,1,汉族,1,1,,,,,,,,大专,2,南京军事学院,1954,,,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,1988,,"Japan, Communist, Korean"
