unique_id,job_id,institution,position,start_year,end_year
1,1,海军护卫舰支队,战士、副班长,1968,1970
1,2,海军昆明舰,指挥仪军士长、副枪炮长,1970,1971
1,3,海军成都舰,副枪炮长,1971,1972
1,4,海军护卫舰支队司令部作训科,参谋,1972,1976
1,5,海军长沙舰,副舰长、舰长,1976,1979
1,6,海军水警区司令部训练科,副科长,1979,1983
1,7,海军扫雷舰大队,参谋长,1983,1984
1,8,海军护卫舰大队,大队长,1984,1985
1,9,海军护卫舰支队,副支队长,1985,1987
1,10,海军水警区,副司令员,1987,1989
1,11,海军驱逐舰支队,支队长,1989,1993
1,12,海军舰艇学院,院长（副军职）,1993,1995
1,13,海军基地,参谋长,1993,1993
1,14,海军北海舰队,参谋长,1995,1997
1,15,海军北海舰队,副司令员,1997,2000
1,16,济南军区、海军北海舰队、军区党委、舰队党委,副司令员、司令员、常委、副书记,2000,2003
1,17,海军,参谋长,2006,2009
1,18,海军,副司令员,2006,2009
1,19,海军,副司令员,2009,2012
1,20,海上联合-2012中俄海上联合军事演习”,中方总导演,2012,2014
2,21,八路军一二九师三八五旅七六九团政治处,主任,1937,
2,22,陕南豫鄂陕军区第三军分区,副政治委员,1945,
2,23,70军209师,政委,1949,1950
2,24,中国人民志愿军后勤部第二分部,部长,1950,
2,25,总后勤部重庆办事处,主任,1953,
2,26,总后勤部,副部长,1970,1971
2,27,后勤工程学院,院长,,
2,28,志愿军后勤部,副部长,,1953
2,29,晋冀鲁豫军区十四纵四十一旅,政治委员,,1949
2,30,晋冀鲁豫军区十三纵三十七旅,副政治委员,,
2,31,新四军五师十三旅二十七团,政治委员,,1945
2,32,新四军五师十三旅,政治委员,,
2,33,冀南军区一军分区,司令员,,
2,34,太岳军区三八六旅七七二团,政治委员,,
2,35,八路军一二九师补充团,政治委员,,
2,36,红四军十师政治部,主任,,1937
3,37,济南军区,副司令员,1999,2004
3,38,广州军区,副司令员﻿,2004,2008
3,39,陆军第67集团军,军长,,
3,40,陆军第20集团军,军长,,
3,41,陆军第20集团军,副军长,,
3,42,陆军第43军,副军长,,
4,43,空军某师,军械员、政治部组织科监察助理员、飞行大队副政委,1954,1966
4,44,空军,政治部秘书处秘书,1966,1970
4,45,空军,政治部干部处处长,1970,1980
