name,department,positions,position_id,start_date_year,start_date_month,end_date_year,end_date_month,position_convert
刘伯承,中国人民解放军总参谋部,总参谋长,201,1930,5,1931,1,
朱云卿,中国人民解放军总参谋部,总参谋长,201,1931,1,1931,5,
郭化若,中国人民解放军总参谋部,总参谋长,201,1931,5,1931,11,
叶剑英,中国人民解放军总参谋部,总参谋长,201,1931,11,1934,2,
刘伯承,中国人民解放军总参谋部,总参谋长,201,1934,2,1935,11,
叶剑英,中国人民解放军总参谋部,总参谋长,201,1935,11,1936,12,
刘伯承,中国人民解放军总参谋部,总参谋长,201,1936,12,1937,8,
萧劲光,中国人民解放军总参谋部,总参谋长,201,1937,8,1938,1,
滕代远,中国人民解放军总参谋部,总参谋长,201,1938,1,1940,5,
王若飞,中国人民解放军总参谋部,总参谋长,201,1940,5,1941,2,
叶剑英,中国人民解放军总参谋部,总参谋长,201,1941,2,1945,6,
彭德怀,中国人民解放军总参谋部,总参谋长,201,1945,6,1947,3,
周恩来,中国人民解放军总参谋部,总参谋长,201,1947,3,1949,10,
徐向前,中国人民解放军总参谋部,总参谋长,201,1949,10,1954,10,
粟裕,中国人民解放军总参谋部,总参谋长,201,1954,10,1958,10,
黄克诚,中国人民解放军总参谋部,总参谋长,201,1958,10,1959,9,
罗瑞卿,中国人民解放军总参谋部,总参谋长,201,1959,9,1965,12,
杨成武,中国人民解放军总参谋部,总参谋长,201,1965,12,1968,3,
黄永胜,中国人民解放军总参谋部,总参谋长,201,1968,3,1971,9,
邓小平,中国人民解放军总参谋部,总参谋长,201,1975,1,1976,4,
邓小平,中国人民解放军总参谋部,总参谋长,201,1977,7,1980,3,
杨得志,中国人民解放军总参谋部,总参谋长,201,1980,3,1987,11,
迟浩田,中国人民解放军总参谋部,总参谋长,201,1987,11,1992,11,
张万年,中国人民解放军总参谋部,总参谋长,201,1992,11,1995,9,
傅全有,中国人民解放军总参谋部,总参谋长,201,1995,9,2002,11,
梁光烈,中国人民解放军总参谋部,总参谋长,201,2002,11,2007,9,
陈炳德,中国人民解放军总参谋部,总参谋长,201,2007,9,2012,10,
房峰辉,中国人民解放军总参谋部,总参谋长,201,2012,10,2016,1,
房峰辉,中央军委联合参谋部,参谋长,201,2015,11,2017,8,
李作成,中央军委联合参谋部,参谋长,201,2017,8,,,
张宗逊,中国人民解放军总参谋部,副总参谋长,202,1954,10,1969,12,
李克农,中国人民解放军总参谋部,副总参谋长,202,1954,10,1962,29,
陈赓,中国人民解放军总参谋部,副总参谋长,202,1954,10,1959,10,
王震,中国人民解放军总参谋部,副总参谋长,202,1954,10,1959,10,
许世友,中国人民解放军总参谋部,副总参谋长,202,1954,10,1959,10,
邓华,中国人民解放军总参谋部,副总参谋长,202,1954,10,1959,91,
彭绍辉,中国人民解放军总参谋部,副总参谋长,202,1954,10,1967,81,
彭绍辉,中国人民解放军总参谋部,副总参谋长,202,1969,81,1978,42,
张爱萍,中国人民解放军总参谋部,副总参谋长,202,1954,10,1967,81,
张爱萍,中国人民解放军总参谋部,副总参谋长,202,1977,91,1982,11,
杨成武,中国人民解放军总参谋部,副总参谋长,202,1954,10,1965,12,
杨成武,中国人民解放军总参谋部,副总参谋长,202,1974,11,1980,11,
韩先楚,中国人民解放军总参谋部,副总参谋长,202,1954,10,1960,12,
杨勇,中国人民解放军总参谋部,副总参谋长,202,1959,10,1960,12,
杨勇,中国人民解放军总参谋部,副总参谋长,202,1977,91,1983,16,
李天佑,中国人民解放军总参谋部,副总参谋长,202,1962,91,1970,92,
王新亭,中国人民解放军总参谋部,副总参谋长,202,1963,91,1972,10,
温玉成,中国人民解放军总参谋部,副总参谋长,202,1967,11,1970,64,
吴法宪,中国人民解放军总参谋部,副总参谋长,202,1967,12,1971,92,
李作鹏,中国人民解放军总参谋部,副总参谋长,202,1968,10,1971,92,
邱会作,中国人民解放军总参谋部,副总参谋长,202,1968,10,1971,92,
阎仲川,中国人民解放军总参谋部,副总参谋长,202,1969,59,1971,10,
陈继德,中国人民解放军总参谋部,副总参谋长,202,1970,74,1972,12,
张才千,中国人民解放军总参谋部,副总参谋长,202,1971,47,1980,11,
向仲华,中国人民解放军总参谋部,副总参谋长,202,1971,47,1980,11,
